policy,shard_id,projection_id,block_id,projection_name,execution_index,row_shard_index,col_shard_index,tile_id,tier_start,tiers_used,weights_in_shard,weights_in_projection,shard_weight,sensitivity_score,shard_importance
random,decoder_stack.layers.0.token_embedding#r0c0,embedding/token_embedding,embedding,token_embedding,-100,0,0,31,2,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r0c1,embedding/token_embedding,embedding,token_embedding,-100,0,1,32,2,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r1c0,embedding/token_embedding,embedding,token_embedding,-100,1,0,34,2,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r1c1,embedding/token_embedding,embedding,token_embedding,-100,1,1,35,2,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r2c0,embedding/token_embedding,embedding,token_embedding,-100,2,0,36,2,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r2c1,embedding/token_embedding,embedding,token_embedding,-100,2,1,37,2,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r3c0,embedding/token_embedding,embedding,token_embedding,-100,3,0,38,2,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r3c1,embedding/token_embedding,embedding,token_embedding,-100,3,1,39,2,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r4c0,embedding/token_embedding,embedding,token_embedding,-100,4,0,41,2,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r4c1,embedding/token_embedding,embedding,token_embedding,-100,4,1,42,2,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r5c0,embedding/token_embedding,embedding,token_embedding,-100,5,0,43,2,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r5c1,embedding/token_embedding,embedding,token_embedding,-100,5,1,44,2,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r6c0,embedding/token_embedding,embedding,token_embedding,-100,6,0,42,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r6c1,embedding/token_embedding,embedding,token_embedding,-100,6,1,31,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
